gene_id	chr	strand	transcript_id
A1BG	NC_000019.10	-	['NM_130786.4 (MANE)']
A1CF	NC_000010.11	-	['NM_014576.4 (MANE)', 'NM_001198818.2', 'NM_001198819.2', 'NM_001198820.2', 'NM_001370130.1', 'NM_001370131.1', 'NM_138932.3', 'NM_138933.3', 'XM_005269718.3', 'XM_011539729.4', 'XM_047425127.1', 'XM_047425129.1', 'XM_047425130.1', 'XM_047425131.1']
A2M	NC_000012.12	-	['NM_000014.6 (MANE)', 'NM_001347423.2', 'NM_001347424.2', 'NM_001347425.2', 'XM_006719056.4']
A2ML1	NC_000012.12	+	['NM_144670.6 (MANE)', 'NM_001282424.3', 'XM_011520566.3', 'XM_011520567.3', 'XM_017018869.2', 'XM_017018870.2', 'XM_047428387.1']
A3GALT2	NC_000001.11	-	['NM_001080438.1 (MANE)']
A4GALT	NC_000022.11	-	['NM_017436.7 (MANE)', 'NM_001318038.3', 'XM_005261644.3', 'XM_005261646.5', 'XM_005261647.4', 'XM_005261648.5', 'XM_006724265.4', 'XM_006724266.4', 'XM_011530233.3', 'XM_017028831.2', 'XM_047441412.1']
A4GNT	NC_000003.12	-	['NM_016161.3 (MANE)', 'XM_017006543.3', 'XM_017006544.2']
AAAS	NC_000012.12	-	['NM_015665.6 (MANE)', 'NM_001173466.2']
AACS	NC_000012.12	+	['NM_023928.5 (MANE)', 'NM_001319839.2', 'NM_001319840.2', 'NM_001414675.1', 'NM_001414676.1', 'NM_001414677.1', 'NM_001414678.1', 'XM_011538692.3', 'XM_047429446.1']
AADAC	NC_000003.12	+	['NM_001086.3 (MANE)', 'XM_005247104.5']
AADACL2	NC_000003.12	+	['NM_207365.4 (MANE)']
AADACL3	NC_000001.11	+	['NM_001103170.3 (MANE)']
AADACL4	NC_000001.11	+	['NM_001013630.2 (MANE)', 'XM_017001153.1']
AADAT	NC_000004.12	-	['NM_016228.4 (MANE)', 'NM_001286682.2', 'NM_001286683.1', 'NM_182662.2', 'XM_006714231.3', 'XM_011532020.3', 'XM_024454077.2', 'XM_047415763.1']
AAGAB	NC_000015.10	-	['NM_024666.5 (MANE)', 'NM_001271885.2', 'NM_001271886.2', 'XM_024450052.2', 'XM_024450053.2']
AAK1	NC_000002.12	-	['NM_014911.5 (MANE)', 'NM_001371575.1', 'NM_001371577.1', 'NM_001426745.1', 'NM_001426746.1']
AAMDC	NC_000011.10	+	['NM_024684.4 (MANE)', 'NM_001316957.3', 'NM_001316958.3', 'NM_001316960.2', 'NM_001316961.2', 'NM_001316962.2', 'NM_001363564.2', 'NM_001392031.1', 'NM_001392032.1', 'NM_001392033.1', 'NM_001392034.1', 'NM_001392035.1', 'NM_001392036.1', 'NM_001392037.1', 'NM_001392038.1', 'NM_001392068.1', 'XM_017017620.2', 'XM_047426836.1', 'XM_047426837.1', 'XM_047426838.1', 'XM_047426839.1']
AAMP	NC_000002.12	-	['NM_001087.5 (MANE)', 'NM_001302545.2']
AANAT	NC_000017.11	+	['NM_001088.3 (MANE)', 'NM_001166579.2']
AAR2	NC_000020.11	+	['NM_001271874.2 (MANE)', 'NM_015511.5', 'XM_006723770.4', 'XM_011528762.3', 'XM_011528763.3', 'XM_047440082.1']
AARD	NC_000008.11	+	['NM_001025357.3 (MANE)']
